,t_id,	,rt_id,	,nbpartages,	,nbmentions,
,879799591,	,2513936075,	,1,	,0,
,286106741,	,1497316190,	,1,	,0,
,420534212,	,1630408310,	,1,	,0,
,309719893,	,459667002,	,1,	,0,
,1919283072,	,149536435,	,1,	,0,
,15796976,	,195503,	,1,	,0,
,38395124,	,68800712,	,2,	,0,
,1522883209,	,2494247504,	,1,	,0,
,127659284,	,857008494,	,4,	,0,
,118677642,	,251069829,	,1,	,0,
,368404814,	,2341122554,	,1,	,0,
,704779033,	,299942623,	,1,	,0,
,135542348,	,1844439594,	,1,	,0,
,450516006,	,893170782,	,1,	,0,
,280288703,	,1570340431,	,5,	,0,
,1267768076,	,167154439,	,1,	,0,
,275625008,	,243726128,	,3,	,0,
,190267364,	,47058095,	,1,	,0,
,2685786702,	,292803275,	,1,	,0,
,36684721,	,573268791,	,1,	,0,
,2237538308,	,135890559,	,1,	,0,
,1239876049,	,338279064,	,1,	,0,
,21943273,	,2560316586,	,1,	,0,
,1568568853,	,802111646,	,2,	,0,
,560356047,	,459633751,	,1,	,0,
,35777570,	,53889272,	,1,	,0,
,571047058,	,2248700289,	,1,	,0,
,97470998,	,1492012436,	,1,	,0,
,1111796005,	,358917808,	,2,	,0,
,460239236,	,357670124,	,1,	,0,
,41093168,	,286197523,	,1,	,0,
,119693093,	,2494021200,	,2,	,0,
,2436889045,	,62608621,	,1,	,0,
,20224969,	,95312133,	,2,	,0,
,21313364,	,2485498904,	,57,	,0,
,360659082,	,292932233,	,1,	,1,
,24744541,	,777283663,	,3,	,0,
,87158172,	,376437579,	,1,	,0,
,2336832030,	,2469525624,	,1,	,0,
,2649991,	,2203206837,	,1,	,0,
,18008484,	,436310827,	,1,	,0,
,133663801,	,1746874826,	,1,	,0,
,99180120,	,355190122,	,1,	,0,
,23107505,	,1897841677,	,1,	,0,
,1102290619,	,1593643915,	,1,	,0,
,227430215,	,1318997568,	,1,	,0,
,412135727,	,2530136840,	,1,	,0,
,364513528,	,357432623,	,1,	,0,
,38142665,	,164431417,	,1,	,0,
,847061216,	,2350188882,	,1,	,0,
,564856252,	,30465778,	,1,	,0,
,181633654,	,572987231,	,1,	,0,
,376812938,	,185982920,	,2,	,0,
,997561398,	,2173480960,	,1,	,0,
,36932487,	,2750414809,	,1,	,0,
,364513528,	,2221338942,	,1,	,0,
,15796976,	,2148488095,	,1,	,0,
,244170872,	,2564337723,	,1,	,0,
,364513528,	,48707639,	,1,	,0,
,249408908,	,2822273354,	,1,	,0,
,1568353904,	,1334596194,	,1,	,0,
,557529388,	,2376153646,	,1,	,0,
,1994321,	,619934639,	,1,	,0,
,74167992,	,1090238707,	,5,	,0,
,1994321,	,2790196261,	,2,	,0,
,1563477943,	,1543211520,	,1,	,0,
,302500864,	,236060479,	,1,	,0,
,301613161,	,1357102304,	,1,	,0,
,194173066,	,48669972,	,1,	,0,
,33388399,	,603396401,	,1,	,0,
,376812938,	,2558660667,	,1,	,0,
,1416539461,	,1283442889,	,1,	,0,
,335488311,	,110931531,	,1,	,0,
,8460572,	,1692138680,	,1,	,0,
,1854353216,	,2523766527,	,1,	,0,
,218281638,	,2376438428,	,1,	,0,
,15838516,	,133754181,	,3,	,0,
,1563477943,	,2718672299,	,1,	,0,
,8350912,	,512495516,	,12,	,0,
,177217315,	,39538605,	,2,	,0,
,24744541,	,254498092,	,1,	,0,
,168619698,	,386041084,	,1,	,0,
,52744325,	,145702955,	,1,	,0,
,213583383,	,972474374,	,1,	,0,
,2328488472,	,2828528396,	,1,	,0,
,17865415,	,2546072604,	,1,	,0,
,2188542632,	,344840406,	,1,	,0,
,128598976,	,899898859,	,1,	,0,
,20224969,	,5508582,	,1,	,0,
,242815627,	,14575343,	,1,	,0,
,2649991,	,458988833,	,1,	,0,
,635279577,	,199075804,	,1,	,0,
,217121886,	,1097842340,	,1,	,0,
,68440549,	,67624484,	,1,	,0,
,19976004,	,221801192,	,1,	,0,
,222153850,	,21762698,	,1,	,0,
,128598976,	,548551022,	,1,	,0,
,204254073,	,127643327,	,1,	,0,
,24744541,	,1949488410,	,1,	,0,
,2649991,	,2674004784,	,1,	,0,
,151944204,	,507819319,	,1,	,0,
,2166386359,	,125927757,	,1,	,0,
,412213891,	,2327075144,	,1,	,0,
,310147105,	,1068434431,	,2,	,0,
,118192781,	,2559386197,	,1,	,0,
,1858109869,	,404973251,	,1,	,0,
,2601456482,	,2601473365,	,1,	,0,
,2326049100,	,229883580,	,1,	,0,
,42869741,	,172402527,	,1,	,0,
,13353862,	,1245441690,	,1,	,0,
,357412940,	,330661444,	,1,	,0,
,8350912,	,583634304,	,2,	,0,
,194191469,	,2569196850,	,2,	,0,
,525733281,	,702373530,	,1,	,0,
,275625008,	,35202564,	,1,	,0,
,2450375796,	,2493892838,	,1,	,0,
,225036513,	,98359806,	,1,	,0,
,35777570,	,107064697,	,1,	,0,
,2439841758,	,1576114334,	,1,	,0,
,2751112653,	,1681973106,	,1,	,0,
,24744541,	,2787013406,	,1,	,0,
,583829453,	,2197955503,	,4,	,0,
,194937286,	,118314508,	,1,	,0,
,84556082,	,2494030958,	,1,	,0,
,47924235,	,12901782,	,1,	,0,
,1021914422,	,501787598,	,1,	,0,
,1613009941,	,2601464352,	,1,	,0,
,847797764,	,835725830,	,1,	,0,
,337376974,	,950435516,	,1,	,0,
,18936161,	,442344823,	,1,	,0,
,448726646,	,432714833,	,1,	,0,
,23768324,	,461130775,	,1,	,0,
,455862458,	,2232760116,	,1,	,0,
,212371744,	,2601466418,	,1,	,0,
,18858998,	,712424428,	,1,	,0,
,426945289,	,2530136840,	,1,	,0,
,1436733306,	,2659809344,	,1,	,0,
,357412940,	,376442480,	,1,	,0,
,412213891,	,2653973162,	,1,	,0,
,412213891,	,355862730,	,1,	,0,
,2362631311,	,18168963,	,1,	,0,
,21313364,	,528847909,	,2,	,0,
,18936161,	,899636906,	,3,	,0,
,8350912,	,209039450,	,1,	,0,
,124413849,	,404316839,	,1,	,0,
,11673462,	,275747997,	,1,	,0,
,47924235,	,2491630632,	,1,	,0,
,473213226,	,2323898424,	,1,	,0,
,2649991,	,295109467,	,1,	,0,
,632729567,	,1415142588,	,1,	,0,
,365251227,	,925774292,	,1,	,0,
,991214378,	,793090224,	,1,	,0,
,1613510328,	,2610609764,	,1,	,0,
,8350912,	,861337568,	,6,	,0,
,584882931,	,111589590,	,1,	,0,
,68440549,	,275951735,	,1,	,0,
,72245880,	,1066156454,	,1,	,0,
,2354696552,	,560613801,	,1,	,0,
,344321458,	,262554664,	,1,	,0,
,220677812,	,429710343,	,1,	,0,
,17396243,	,218962313,	,1,	,0,
,2476679334,	,55646551,	,1,	,0,
,1128067351,	,309178937,	,2,	,0,
,21313364,	,707527792,	,13,	,0,
,207192972,	,563718067,	,1,	,0,
,555499085,	,2493968618,	,1,	,0,
,1702204111,	,95639457,	,3,	,0,
,2732602029,	,512554257,	,1,	,0,
,2649991,	,380993338,	,1,	,0,
,2649991,	,2815533206,	,1,	,0,
,1327735346,	,494037039,	,3,	,0,
,411052481,	,301384235,	,1,	,0,
,2151480642,	,2674548164,	,1,	,0,
,476783264,	,2318721163,	,1,	,0,
,360628316,	,251078369,	,2,	,0,
,34867057,	,2322547309,	,1,	,0,
,436922925,	,2458213770,	,1,	,0,
,26214858,	,366655181,	,1,	,0,
,1667669136,	,122020621,	,1,	,0,
,38142665,	,492344547,	,5,	,0,
,1283101652,	,2601531127,	,2,	,0,
,586483075,	,2342598302,	,1,	,0,
,97471352,	,404105819,	,2,	,0,
,409381881,	,379782812,	,1,	,0,
,2450377807,	,2597951659,	,1,	,1,
,485777791,	,859494019,	,1,	,0,
,253503717,	,2560429357,	,1,	,0,
,503061739,	,77006409,	,1,	,0,
,242260896,	,385564703,	,1,	,0,
,364513528,	,895196263,	,1,	,0,
,1099011049,	,338318246,	,1,	,0,
,222153850,	,293538071,	,1,	,0,
,152946447,	,2284513443,	,1,	,0,
,83116880,	,2238319673,	,1,	,0,
,2303261670,	,131768251,	,1,	,0,
,478448085,	,468824013,	,1,	,0,
,69098915,	,2248278425,	,1,	,0,
,389125136,	,301643950,	,1,	,0,
,14734067,	,2191005127,	,1,	,0,
,18936161,	,569279386,	,1,	,0,
,1870190160,	,110079362,	,1,	,0,
,226018473,	,1457392165,	,4,	,0,
,89784381,	,126416835,	,1,	,0,
,429710343,	,2285434735,	,1,	,0,
,88667917,	,961180782,	,1,	,0,
,2649991,	,229857149,	,1,	,0,
,556526644,	,1706154259,	,1,	,0,
,123942210,	,1185280417,	,1,	,0,
,89696512,	,121147908,	,1,	,0,
,560803492,	,481546083,	,1,	,0,
,215665483,	,2595016507,	,1,	,0,
,24744541,	,132154499,	,1,	,0,
,68440549,	,1420592707,	,2,	,0,
,2560368139,	,2538168546,	,1,	,0,
,556139313,	,872553745,	,1,	,0,
,104105131,	,75191142,	,3,	,0,
,373983212,	,95851773,	,1,	,0,
,381483328,	,428991123,	,1,	,0,
,2729840031,	,2479977919,	,1,	,0,
,2376099230,	,859649563,	,1,	,0,
,419515287,	,403618062,	,1,	,0,
,38142665,	,382027019,	,1,	,0,
,338985020,	,1006949928,	,19,	,0,
,8878442,	,26711810,	,1,	,0,
,338985020,	,398410063,	,1,	,0,
,137253079,	,588516130,	,1,	,0,
,1583657814,	,2713695091,	,1,	,0,
,23485745,	,1627734804,	,1,	,0,
,103223236,	,574480825,	,1,	,0,
,105457963,	,2560895526,	,1,	,0,
,47399805,	,1084641301,	,1,	,0,
,2652613098,	,2161457542,	,3,	,0,
,18936161,	,923731742,	,1,	,0,
,338985020,	,1489898868,	,5,	,0,
,392016738,	,14614431,	,1,	,0,
,38142665,	,243650027,	,1,	,0,
,517459817,	,105143670,	,1,	,0,
,542878994,	,1497200928,	,1,	,0,
,452260427,	,2560050024,	,1,	,0,
,8460572,	,2559309584,	,1,	,0,
,1306576610,	,317528094,	,1,	,0,
,707327677,	,201751126,	,1,	,0,
,37634984,	,2601501974,	,1,	,0,
,2284913006,	,2494238358,	,1,	,0,
,59564498,	,2490185261,	,1,	,0,
,18936161,	,1089926862,	,1,	,0,
,2598355996,	,96098329,	,1,	,0,
,476641060,	,545924100,	,1,	,0,
,276112778,	,1031569579,	,1,	,0,
,1131055958,	,945713544,	,1,	,1,
,8350912,	,558559484,	,2,	,0,
,2649991,	,2285648239,	,1,	,0,
,274790445,	,324938399,	,1,	,1,
,20224969,	,378191508,	,5,	,0,
,21313364,	,2190324447,	,1,	,0,
,435928977,	,301410220,	,1,	,0,
,399516193,	,1615909566,	,1,	,2,
,346557191,	,2159170862,	,1,	,0,
,297022567,	,1262933095,	,1,	,0,
,64028758,	,244170872,	,2,	,0,
,1427728249,	,174192570,	,1,	,0,
,332374848,	,525733281,	,1,	,0,
,144310087,	,157953350,	,1,	,0,
,1318611924,	,143184516,	,1,	,0,
,738878377,	,2147797556,	,1,	,0,
,150017190,	,2560005505,	,1,	,0,
,16906363,	,485694429,	,1,	,0,
,964270778,	,244170872,	,1,	,0,
,2567305838,	,409389031,	,1,	,0,
,190226677,	,251142136,	,3,	,0,
,531036044,	,929469638,	,1,	,0,
,541073031,	,134462081,	,1,	,0,
,518347117,	,1452578348,	,3,	,0,
,291922856,	,234347677,	,1,	,0,
,702964123,	,2201481631,	,1,	,1,
,184947855,	,499152608,	,1,	,1,
,222153850,	,184069308,	,2,	,0,
,22464771,	,17810192,	,2,	,0,
,288991803,	,304452197,	,1,	,0,
,25048816,	,2226877048,	,2,	,0,
,38142665,	,2817321086,	,1,	,0,
,24744541,	,390747861,	,2,	,0,
,558683220,	,95851773,	,1,	,0,
,1668421316,	,599474498,	,1,	,0,
,13353862,	,2304173793,	,1,	,0,
,430059673,	,430064688,	,1,	,0,
,294062704,	,103277461,	,1,	,0,
,1598369090,	,2259499609,	,1,	,0,
,114704955,	,832012796,	,1,	,0,
,2649991,	,445012206,	,1,	,0,
,38142665,	,364122055,	,1,	,0,
,82069968,	,55673826,	,1,	,0,
,14398228,	,1403157493,	,1,	,0,
,1858109869,	,1539326377,	,1,	,0,
,6652032,	,330119169,	,1,	,0,
,554485198,	,1606023864,	,4,	,0,
,78572595,	,2306215762,	,1,	,0,
,394961572,	,127685371,	,1,	,0,
,8350912,	,158766862,	,7,	,0,
,133663801,	,2493848653,	,1,	,0,
,22416221,	,244014666,	,1,	,0,
,48756757,	,36927527,	,3,	,0,
,570743298,	,928607136,	,1,	,0,
,443161220,	,2270825325,	,1,	,0,
,542560605,	,937606688,	,1,	,0,
,34642399,	,1117497204,	,1,	,0,
,338985020,	,462292950,	,27,	,0,
,395119889,	,151718704,	,1,	,0,
,24744541,	,541644487,	,3,	,0,
,402626426,	,252603958,	,1,	,0,
,15468152,	,59807998,	,1,	,0,
,127044368,	,1463176700,	,1,	,1,
,338985020,	,244228854,	,2,	,0,
,24744541,	,804584972,	,4,	,0,
,576201752,	,560287430,	,1,	,0,
,24744541,	,2336470953,	,5,	,0,
,2822225984,	,2792759662,	,1,	,0,
,312245187,	,254017140,	,1,	,0,
,76666724,	,2439687150,	,1,	,0,
,2361313322,	,215972662,	,7,	,0,
,19338923,	,98201345,	,1,	,0,
,61184147,	,2249927394,	,2,	,0,
,24744541,	,308187842,	,1,	,0,
,16389573,	,66340088,	,1,	,0,
,510352545,	,2287731479,	,1,	,0,
,1858109869,	,1077668965,	,1,	,0,
,1403407596,	,1333897087,	,1,	,0,
,21313364,	,2461782973,	,2,	,0,
,21313364,	,444104181,	,1,	,0,
,18936161,	,1508417934,	,3,	,0,
,331556368,	,19683583,	,3,	,0,
,962573815,	,51576578,	,1,	,0,
,487437345,	,2149398411,	,1,	,0,
,24744541,	,308780778,	,1,	,0,
,21313364,	,1360499978,	,1,	,0,
,68440549,	,2775102889,	,1,	,0,
,60615239,	,802575505,	,1,	,0,
,276605327,	,2461755625,	,1,	,0,
,181709580,	,1399581476,	,1,	,0,
,6120472,	,1264384848,	,1,	,0,
,8350912,	,2244046306,	,1,	,0,
,338985020,	,1088835775,	,1,	,0,
,2649991,	,515994782,	,2,	,0,
,96519228,	,372658255,	,4,	,0,
,2706018258,	,8460572,	,17,	,65,
,26073581,	,300737339,	,1,	,0,
,493265079,	,17400044,	,3,	,0,
,200069896,	,989242393,	,1,	,0,
,25049056,	,878719854,	,2,	,0,
,240626596,	,2655214616,	,1,	,0,
,1858109869,	,388219672,	,1,	,0,
,9997062,	,111593507,	,1,	,0,
,68440549,	,1908284004,	,1,	,0,
,263594144,	,94379743,	,1,	,0,
,38142665,	,881005728,	,1,	,0,
,352676545,	,2500200233,	,1,	,0,
,425045213,	,70967390,	,3,	,0,
,68440549,	,2330721268,	,1,	,0,
,289250739,	,496217480,	,1,	,0,
,18936161,	,549575213,	,1,	,0,
,5698002,	,16558298,	,1,	,0,
,1416539461,	,2653467459,	,1,	,0,
,114704955,	,721771734,	,1,	,0,
,92233525,	,80590796,	,2,	,0,
,1657892413,	,390288302,	,2,	,0,
,1994321,	,93293716,	,6,	,0,
,25048816,	,454076428,	,1,	,0,
,47399805,	,2345038668,	,5,	,0,
,587700132,	,1106962772,	,1,	,0,
,81860989,	,66652131,	,1,	,0,
,2362631311,	,2285504396,	,1,	,0,
,223623455,	,33355377,	,1,	,0,
,85797706,	,77250472,	,1,	,0,
,15808212,	,120469909,	,1,	,0,
,2467778522,	,384517767,	,1,	,2,
,338985020,	,2341785589,	,7,	,0,
,13830762,	,237669408,	,1,	,0,
,34867057,	,2775102889,	,1,	,0,
,482792339,	,2560408776,	,1,	,0,
,539941600,	,1011719546,	,1,	,0,
,53409554,	,2603656125,	,1,	,0,
,8350912,	,2809097092,	,2,	,0,
,38395124,	,260352065,	,1,	,0,
,2649991,	,232241531,	,2,	,0,
,26690376,	,2359559762,	,1,	,0,
,18936161,	,1465822868,	,1,	,0,
,556139313,	,421083521,	,1,	,0,
,8350912,	,2309626015,	,1,	,0,
,15002138,	,722252460,	,4,	,0,
,47167663,	,168767617,	,1,	,0,
,58266995,	,2340948534,	,1,	,0,
,19341180,	,167495274,	,2,	,0,
,89784381,	,884472488,	,1,	,0,
,43660698,	,2252033361,	,1,	,0,
,112782893,	,470017883,	,1,	,0,
,308092719,	,2728194844,	,1,	,0,
,122112297,	,2586453476,	,1,	,0,
,8350912,	,527351645,	,3,	,0,
,2251689488,	,262419055,	,1,	,0,
,15143764,	,47706812,	,1,	,0,
,950553349,	,2494103438,	,1,	,0,
,24744541,	,2611924681,	,1,	,0,
,2362631311,	,2586741632,	,1,	,0,
,157266300,	,1522736780,	,1,	,0,
,114704955,	,200463792,	,4,	,0,
,119855823,	,458684045,	,1,	,0,
,38142665,	,1024288466,	,12,	,0,
,511728181,	,265987563,	,1,	,0,
,16906374,	,176837384,	,1,	,0,
,364513528,	,332406821,	,1,	,0,
,132543309,	,375577262,	,1,	,0,
,19491190,	,14106605,	,1,	,0,
,114704955,	,126594971,	,1,	,0,
,14089418,	,480191191,	,1,	,0,
,2361422897,	,85041119,	,1,	,0,
,48669396,	,564550886,	,1,	,0,
,8350912,	,612989860,	,10,	,0,
,38142665,	,527646012,	,1,	,0,
,132543309,	,522114585,	,1,	,0,
,1994321,	,98515244,	,1,	,0,
,38142665,	,579101977,	,1,	,0,
,16525194,	,2427350034,	,1,	,0,
,65043199,	,499085487,	,1,	,0,
,192538987,	,1452604796,	,3,	,0,
,9997062,	,2458420354,	,1,	,0,
,19990293,	,2683584460,	,1,	,0,
,133663801,	,554836696,	,1,	,0,
,51172935,	,565753447,	,1,	,0,
,309856113,	,21668737,	,1,	,0,
,817779691,	,1672688215,	,1,	,0,
,962293452,	,1399581476,	,2,	,0,
,1152263798,	,969828182,	,1,	,0,
,920727667,	,731958020,	,1,	,0,
,24744541,	,366226418,	,2,	,0,
,23317826,	,462076783,	,1,	,0,
,305748911,	,1205657436,	,1,	,0,
,2601481500,	,2560083457,	,1,	,0,
,24744541,	,18215385,	,2,	,0,
,376812938,	,1538360450,	,1,	,0,
,127044368,	,604523622,	,2,	,0,
,24744541,	,786851226,	,1,	,0,
,2449906448,	,111746038,	,1,	,0,
,80271270,	,111274202,	,1,	,0,
,18936161,	,1329012660,	,1,	,0,
,39048311,	,191696517,	,1,	,0,
,307472262,	,263765297,	,1,	,0,
,1559925114,	,1322541896,	,1,	,0,
,18114895,	,20900319,	,1,	,0,
,2334028915,	,1086175328,	,1,	,0,
,69258893,	,295909373,	,1,	,0,
,217028732,	,375762278,	,1,	,0,
,1563477943,	,487790164,	,1,	,0,
,15453184,	,1210346707,	,1,	,0,
,24744541,	,256912879,	,1,	,0,
,130481825,	,1349999419,	,1,	,0,
,564856252,	,97860997,	,2,	,0,
,461381142,	,143372583,	,1,	,0,
,1698989802,	,1489690165,	,2,	,6,
,2362631311,	,304066358,	,1,	,0,
,1693645183,	,498794298,	,3,	,0,
,20696007,	,421127111,	,1,	,0,
,1004061,	,299677192,	,1,	,0,
,31080997,	,1441962302,	,1,	,0,
,103821088,	,1900431908,	,1,	,0,
,8350912,	,47686150,	,1,	,0,
,1063274202,	,492904449,	,15,	,1,
,15521334,	,336490122,	,1,	,0,
,488488216,	,799079898,	,2,	,0,
,38142665,	,1705727600,	,1,	,0,
,513567442,	,281536142,	,1,	,0,
,26714234,	,2274660102,	,1,	,0,
,133663801,	,552854858,	,1,	,0,
,8350912,	,329591068,	,5,	,0,
,1680286454,	,437788795,	,1,	,0,
,31103048,	,436182362,	,1,	,0,
,140776364,	,401601754,	,4,	,0,
,2649991,	,360844397,	,1,	,0,
,138932594,	,311340118,	,1,	,0,
,2649991,	,1585739917,	,1,	,0,
,2228171570,	,242263905,	,4,	,0,
,457444998,	,2560359565,	,1,	,0,
,16525183,	,1645125842,	,1,	,0,
,2184489764,	,1630681262,	,3,	,0,
,743639216,	,1349999419,	,1,	,0,
,1858109869,	,2183428048,	,1,	,0,
,562002387,	,617134059,	,1,	,0,
,38142665,	,479500071,	,4,	,0,
,38395124,	,76639243,	,1,	,0,
,21313364,	,256505796,	,4,	,0,
,2148731538,	,842628392,	,1,	,0,
,47399805,	,218080681,	,1,	,0,
,269729359,	,95919192,	,1,	,1,
,8460572,	,1713629084,	,1,	,0,
,459898244,	,386053209,	,1,	,0,
,17398400,	,1207954440,	,1,	,0,
,530810321,	,2289978930,	,1,	,0,
